Source_Type	Validated	Source	Family_F	Genus_F	Species_F	Class_H	Order_H	Family_H	Subfamily_H	Tribe_H	Subtribe_H	Genus_H	Species_H	Location	Life_Stage_H	Reported_F	Reported_H	Level_Reported_H	Level_H
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Chrysomelidae	NA	NA	NA	Diabrotica	NA	NA	Adult	Cordyceps entomorrhiza	Diabrotica	Genus	Genus
Journals & Books	1	Shimizu (1997)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Lampyridae	NA	NA	NA	NA	NA	Japan	Larva	Cordyceps entomorrhiza	Lampyridae	Family	Family
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Staphylinidae	NA	NA	NA	Ocypus	NA	NA	Larva	Cordyceps entomorrhiza	Ocypus	Genus	Genus
Journals & Books	1	Massee (1895); Kobayasi (1941); Kautman & Kautmanová (2009); Kautmanová (2002); Klingen et al. (2002); Kobayasi (1937); Moingeon (2003); Zang and Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	Tenebrionidae	NA	NA	NA	Meneristes	Meneristes laticollis	NA	Larva or Adult (this EF species occurs on both larvae and adults; this does not necessarily consider the host ID of this record)	Cordyceps entomorrhiza	Meneristes laticollis	Species	Species
Journals & Books	1	Friebes and Wendelin (2014)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	Austria	Larva	Cordyceps entomorrhiza	Coleoptera	Order	Order
Journals & Books	1	Pérez-Villamares et al. (2017)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	Mexico	Larva	Cordyceps entomorrhiza	Coleoptera	Order	Order
Journals & Books	1	Chachuła et al. (2020)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps entomorrhiza	Insecta	Hemiptera	Nabidae	NA	NA	NA	NA	NA	Poland	NA	Ophiocordyceps entomorrhiza	Nabinae	Subfamily	Family
Journals & Books	1	Sanjuan et al. (2015)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps evansii	Insecta	Hymenoptera	Formicidae	Ponerinae	Ponerini	Pachycondyla genus group	Pachycondyla	Pachycondyla harpax	Colombia	Adult	Ophiocordyceps evansii	Pachycondyla harpax	Species	Species
Journals & Books	1	Sanjuán et al. (2015)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps evansii	Insecta	Hymenoptera	Formicidae	Ponerinae	Ponerini	Pachycondyla genus group	Pachycondyla	Pachycondyla impressa	Brazil	Adult	Ophiocordyceps evansii	Pachycondyla impressa	Species	Species
Journals & Books	1	Sanjuan et al. (2015)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps evansii	Insecta	Hymenoptera	Formicidae	Ponerinae	Ponerini	Pachycondyla genus group	Pachycondyla	Pachycondyla impressa	Colombia	Adult	Ophiocordyceps evansii	Pachycondyla impressa	Species	Species
